scaffold_id,baker_library_path,hla_ca_rmsd_to_a0201,baker_cluster_k8
scaf1,data/scaffolds/baker_library/scaf1.pdb,0.6704924525381257,2
scaf10,data/scaffolds/baker_library/scaf10.pdb,5.895121699900159,7
scaf100,data/scaffolds/baker_library/scaf100.pdb,5.832941940966065,2
scaf101,data/scaffolds/baker_library/scaf101.pdb,0.649245598199066,7
scaf102,data/scaffolds/baker_library/scaf102.pdb,5.841729228309443,2
scaf103,data/scaffolds/baker_library/scaf103.pdb,0.626525060651977,1
scaf104,data/scaffolds/baker_library/scaf104.pdb,0.6964267594376224,1
scaf105,data/scaffolds/baker_library/scaf105.pdb,4.115841112740007,1
scaf106,data/scaffolds/baker_library/scaf106.pdb,0.6796492876988918,7
scaf107,data/scaffolds/baker_library/scaf107.pdb,0.7703626927418193,3
scaf109,data/scaffolds/baker_library/scaf109.pdb,5.8661669804118395,6
scaf11,data/scaffolds/baker_library/scaf11.pdb,5.881417558405715,1
scaf110,data/scaffolds/baker_library/scaf110.pdb,4.04945059482584,3
scaf111,data/scaffolds/baker_library/scaf111.pdb,4.108162373428299,3
scaf112,data/scaffolds/baker_library/scaf112.pdb,5.851617569217074,4
scaf113,data/scaffolds/baker_library/scaf113.pdb,5.892092003679697,6
scaf114,data/scaffolds/baker_library/scaf114.pdb,5.858394678110412,6
scaf115,data/scaffolds/baker_library/scaf115.pdb,0.668088451392879,1
scaf117,data/scaffolds/baker_library/scaf117.pdb,5.883857008253279,4
scaf118,data/scaffolds/baker_library/scaf118.pdb,5.87968386807317,7
scaf119,data/scaffolds/baker_library/scaf119.pdb,0.7070064794236494,1
scaf120,data/scaffolds/baker_library/scaf120.pdb,5.861402832555972,3
scaf121,data/scaffolds/baker_library/scaf121.pdb,5.895808964608394,6
scaf122,data/scaffolds/baker_library/scaf122.pdb,5.878441622671162,7
scaf123,data/scaffolds/baker_library/scaf123.pdb,5.91482741136479,6
scaf125,data/scaffolds/baker_library/scaf125.pdb,5.887997271916809,3
scaf126,data/scaffolds/baker_library/scaf126.pdb,0.7006111454221636,5
scaf127,data/scaffolds/baker_library/scaf127.pdb,0.7760661519879175,3
scaf128,data/scaffolds/baker_library/scaf128.pdb,0.6417983814429009,1
scaf13,data/scaffolds/baker_library/scaf13.pdb,5.865692088999053,5
scaf130,data/scaffolds/baker_library/scaf130.pdb,5.860079165430628,7
scaf131,data/scaffolds/baker_library/scaf131.pdb,4.0733238726007714,7
scaf133,data/scaffolds/baker_library/scaf133.pdb,5.824381480369086,7
scaf134,data/scaffolds/baker_library/scaf134.pdb,0.6514557390628063,1
scaf135,data/scaffolds/baker_library/scaf135.pdb,5.874191580426956,1
scaf136,data/scaffolds/baker_library/scaf136.pdb,4.070842160010821,1
scaf137,data/scaffolds/baker_library/scaf137.pdb,4.065424460614101,7
scaf138,data/scaffolds/baker_library/scaf138.pdb,5.8679135971847005,7
scaf139,data/scaffolds/baker_library/scaf139.pdb,4.066392373460413,3
scaf14,data/scaffolds/baker_library/scaf14.pdb,5.81445949566761,2
scaf140,data/scaffolds/baker_library/scaf140.pdb,0.7426360159711248,7
scaf141,data/scaffolds/baker_library/scaf141.pdb,5.887834640425308,1
scaf143,data/scaffolds/baker_library/scaf143.pdb,0.693451501139537,7
scaf144,data/scaffolds/baker_library/scaf144.pdb,0.42537351551155234,1
scaf145,data/scaffolds/baker_library/scaf145.pdb,5.904076114687096,3
